dataFeatures,dataType,null,unique,uniqueSample
vendor_id,int64,0,2,"[np.int64(1), np.int64(2)]"
pickup_datetime,datetime64[ns],0,57346,"[np.datetime64('2023-01-05T13:22:39.000000000'), np.datetime64('2023-01-02T12:51:57.000000000')]"
dropoff_datetime,datetime64[ns],0,57269,"[np.datetime64('2023-01-19T08:59:02.000000000'), np.datetime64('2023-01-12T18:37:56.000000000')]"
store_and_forward_flag,object,0,2,"['Y', 'N']"
rate_code_id,float64,0,5,"[np.float64(4.0), np.float64(3.0)]"
pickup_location_id,int64,0,176,"[np.int64(227), np.int64(62)]"
dropoff_location_id,int64,0,243,"[np.int64(179), np.int64(191)]"
passenger_count,float64,0,8,"[np.float64(5.0), np.float64(3.0)]"
trip_distance,float64,0,1403,"[np.float64(8.73), np.float64(8.16)]"
fare_amount,float64,0,247,"[np.float64(30.75), np.float64(73.0)]"
extra_charge,float64,0,12,"[np.float64(0.0), np.float64(3.75)]"
mta_tax,float64,0,4,"[np.float64(1.0), np.float64(1.5)]"
tip_amount,float64,0,1147,"[np.float64(1.68), np.float64(11.82)]"
tolls_amount,float64,0,15,"[np.float64(7.0), np.float64(8.0)]"
improvement_surcharge,float64,0,3,"[np.float64(0.0), np.float64(1.0)]"
total_amount,float64,0,2894,"[np.float64(7.95), np.float64(28.38)]"
payment_type,float64,0,4,"[np.float64(1.0), np.float64(2.0)]"
trip_type,float64,0,2,"[np.float64(1.0), np.float64(2.0)]"
congestion_surcharge,float64,0,3,"[np.float64(0.0), np.float64(2.5)]"
trip_duration_minutes,float64,0,3155,"[np.float64(21.966666666666665), np.float64(29.483333333333334)]"
estimated_max_fare,float64,0,7875,"[np.float64(15.474999999999998), np.float64(14.216666666666665)]"
